sensorId,timestamp,distance,unit
Ultraschall Sensor KY-050,2020-05-17T18:34:00.707572,158.93,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:01.728534,159.71,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:02.749271,158.88,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:03.768495,159.73,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:04.794936,158.08,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:05.815700,158.43,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:06.837333,160.15,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:07.857884,158.84,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:08.884993,158.37,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:09.905033,161.78,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:10.925630,159.13,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:11.945674,159.26,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:12.962067,159.64,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:13.988094,158.43,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:15.008522,159.69,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:16.034338,254.46,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:17.054448,158.85,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:18.071195,159.27,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:19.092485,158.81,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:20.114731,159.34,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:21.136783,160.19,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:22.159079,158.11,cm
Ultraschall Sensor KY-050,2020-05-17T18:34:23.180598,158.49,cm
